INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (1, 5);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (1, 11);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (2, 30);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (2, 22);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (3, 13);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (3, 22);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (3, 26);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (4, 17);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (4, 18);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (5, 23);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (5, 6);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (5, 13);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (6, 19);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (6, 5);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (7, 23);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (7, 14);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (7, 30);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (8, 30);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (8, 23);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (8, 2);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (9, 30);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (9, 26);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (10, 21);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (10, 22);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (11, 27);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (11, 21);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (12, 23);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (12, 12);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (13, 13);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (13, 14);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (14, 13);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (14, 6);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (14, 15);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (15, 15);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (15, 13);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (16, 30);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (16, 18);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (16, 3);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (17, 11);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (17, 28);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (18, 8);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (18, 9);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (18, 30);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (19, 11);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (19, 7);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (20, 28);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (20, 16);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (21, 9);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (21, 4);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (22, 10);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (22, 18);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (22, 4);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (23, 13);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (23, 29);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (24, 5);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (24, 11);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (24, 7);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (25, 14);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (25, 28);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (26, 23);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (26, 15);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (27, 8);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (27, 9);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (28, 26);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (29, 17);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (29, 8);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (30, 21);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (30, 3);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (30, 15);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (31, 24);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (31, 20);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (31, 15);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (32, 23);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (32, 26);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (33, 19);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (33, 5);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (34, 8);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (34, 15);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (35, 17);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (35, 9);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (35, 11);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (36, 19);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (36, 5);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (36, 18);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (37, 23);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (37, 30);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (37, 18);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (38, 15);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (39, 29);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (39, 11);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (40, 7);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (40, 23);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (41, 5);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (41, 19);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (41, 16);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (42, 2);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (42, 26);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (43, 19);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (43, 6);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (44, 24);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (45, 31);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (45, 9);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (46, 10);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (47, 15);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (47, 29);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (47, 23);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (48, 21);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (48, 16);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (48, 4);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (49, 22);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (49, 4);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (50, 20);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (50, 30);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (51, 33);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (52, 33);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (53, 34);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (54, 36);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (55, 37);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (56, 38);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (57, 39);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (58, 42);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (59, 42);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (60, 41);
INSERT INTO gatunek_ksiazki (ksiazka_id, gatunek_id) VALUES (61, 43);
