INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (1, 37, '2023-01-13 12:56:02', '2023-10-19 05:43:31');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (1, 14, '2023-12-05 06:44:05', '2023-12-16 21:52:57');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (2, 5, '2023-01-19 05:53:15', NULL);
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (3, 49, '2023-12-06 05:46:18', NULL);
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (4, 31, '2021-05-13 18:55:49', '2022-09-20 23:46:20');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (5, 30, '2020-11-22 19:01:06', '2021-05-07 14:22:39');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (5, 11, '2023-06-16 05:45:08', '2023-12-05 16:23:22');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (5, 6, '2023-12-18 16:16:29', NULL);
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (6, 21, '2023-06-09 23:12:33', '2023-10-11 09:52:28');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (6, 19, '2023-12-06 23:40:02', '2023-12-11 15:55:18');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (7, 25, '2023-06-21 09:25:18', NULL);
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (8, 12, '2023-03-09 23:02:39', NULL);
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (9, 18, '2023-04-30 10:34:22', '2023-07-05 03:48:31');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (9, 35, '2023-11-01 20:58:31', '2023-12-08 20:51:36');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (10, 45, '2021-05-25 21:27:29', '2023-07-24 23:39:18');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (11, 16, '2022-07-27 17:40:06', '2023-05-04 18:08:47');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (11, 50, '2023-12-20 08:19:57', '2023-12-21 20:44:35');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (12, 44, '2021-10-08 02:58:39', '2023-04-26 19:16:31');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (12, 14, '2023-11-01 09:16:18', '2023-12-10 00:04:36');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (12, 34, '2023-12-21 21:18:32', '2023-12-22 08:22:53');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (13, 45, '2022-10-29 06:04:45', '2023-12-09 21:44:38');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (13, 10, '2023-12-11 07:41:26', NULL);
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (15, 6, '2023-03-19 07:35:48', '2023-07-31 05:58:44');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (21, 38, '2023-06-01 23:46:44', '2023-09-20 01:01:35');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (21, 34, '2023-10-10 07:23:21', '2023-11-18 20:58:20');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (21, 46, '2023-12-02 07:22:45', NULL);
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (22, 44, '2023-07-28 05:29:40', '2023-11-03 04:37:04');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (22, 12, '2023-11-16 11:20:11', '2023-12-21 12:38:19');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (22, 37, '2023-12-22 14:32:45', '2023-12-22 15:33:38');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (23, 14, '2022-11-22 07:33:57', '2023-11-20 04:21:00');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (23, 9, '2023-11-27 07:36:21', '2023-12-15 07:16:47');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (25, 17, '2022-09-10 22:57:59', '2023-01-15 07:07:16');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (25, 39, '2023-10-29 05:20:36', NULL);
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (26, 29, '2023-11-30 08:27:02', '2023-11-30 18:30:51');
INSERT INTO wypozyczenie (egzemplarz_id, czytelnik_id, data_wypozyczenia, data_zwrotu) VALUES (26, 39, '2023-12-06 01:02:12', '2023-12-15 02:30:00');
